,round_epochs,val_loss,val_acc,loss,acc,lr,first_neuron,hidden_layers,batch_size,epochs,dropout,weight_regulizer,emb_output_dims,shape,kernel_initializer,optimizer,losses,activation,last_activation
0,100,0.4588989357257055,0.8703703772690561,0.4465540197651937,0.8167330769903631,1.0625,16,3,3,100,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
1,50,0.41678442443824476,0.8611111111111112,0.44875862600051786,0.796812749003984,0.5,64,2,2,50,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
2,100,0.4106543008238077,0.8796296359764205,0.4218718856721523,0.8087649499752607,1.625,8,3,3,100,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
3,100,0.4448578032768435,0.8518518518518519,0.46666350515477684,0.784860558006393,1.625,64,5,4,100,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
4,150,0.460417865327111,0.8796296296296297,0.46232497490259755,0.8007968128677383,2.75,8,4,4,150,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
5,100,0.44834033661970385,0.8796296296296297,0.4472430097866818,0.8247011954565923,2.75,32,5,4,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
6,50,0.4397098224748064,0.8611111111111112,0.45881608514434313,0.7968127492414527,3.875,16,2,4,50,0.0,None,None,brick,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
7,100,0.4291746642406064,0.8703703703703703,0.48217226680279135,0.7848605577689243,3.875,32,3,2,100,0.0,None,None,brick,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
8,150,0.44751487785726096,0.8796296296296297,0.4246305691806945,0.8247011952191236,1.625,64,2,2,150,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
9,150,0.45911785316032666,0.8611111177338494,0.45570269442233907,0.8127490133640776,4.4375,8,5,3,150,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
