,round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,optimizer,shapes,weight_regulizer
0,50,0.3311650603930268,0.8545454545454545,0.3871594371499086,0.8309492847854356,<function elu at 0x7f1605d95158>,1,0.0,,50,32,5,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Adam'>,funnel,
1,50,0.34508857158563677,0.8515151515151516,0.4257307838644344,0.8205461638491548,<function relu at 0x7f1605d950d0>,1,0.0,,50,64,5,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Nadam'>,brick,
2,50,0.3508464451879263,0.8454545516859401,0.4080621639583914,0.8153446115969991,<function elu at 0x7f1605d95158>,3,0.0,,50,8,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.3125,<class 'keras.optimizers.Adam'>,funnel,
3,50,0.6889533059163527,0.5757575861432336,0.6941827070573526,0.49414825559592523,<function relu at 0x7f1605d950d0>,3,0.0,,50,32,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,4.4375,<class 'keras.optimizers.Nadam'>,brick,
4,100,0.3460173496299169,0.8666666666666667,0.4334673158391359,0.8062418725617685,<function relu at 0x7f1605d950d0>,2,0.0,,100,8,5,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.875,<class 'keras.optimizers.Adam'>,brick,
5,50,0.3085743463908633,0.8515151515151516,0.38438380646906306,0.8244473342002601,<function elu at 0x7f1605d95158>,2,0.0,,50,32,2,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Adam'>,brick,
6,50,0.3363464220906749,0.8484848484848485,0.4133939981383062,0.8218465539661899,<function relu at 0x7f1605d950d0>,4,0.0,,50,32,2,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Adam'>,brick,
7,150,0.41470936749069,0.8333333333333334,0.35725620210938913,0.8335500650195059,<function elu at 0x7f1605d95158>,1,0.0,,150,64,5,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Adam'>,brick,
8,150,9.178949172930286,0.4242424339056015,8.04375229715836,0.4954486460617522,<function elu at 0x7f1605d95158>,3,0.0,,150,32,3,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Nadam'>,brick,
9,150,0.3767885795822649,0.8303030303030303,0.3317238361646163,0.8335500650195059,<function elu at 0x7f1605d95158>,4,0.0,,150,16,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Nadam'>,funnel,
10,150,0.34965146697041666,0.8575757641683925,0.4281435101279024,0.8192457818318405,<function relu at 0x7f1605d950d0>,3,0.0,,150,8,2,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Adam'>,funnel,
